병원코드,도로명전체주소,사업장명
A7mK3q,"전라남도 무안군 무안읍 무안로 449, 1층",왕실동물병원
B9nL4w,"서울특별시 강동구 고덕로14길 61, 1층 (암사동)",미사랑동물병원
C8oM5x,"전북특별자치도 군산시 역전로 29, 202호 (내흥동)",봄봄동물병원
D7pN6y,"대구광역시 수성구 용학로 194, 1층 (지산동)",목련동물병원
E6qO7z,전라남도 보성군 보성읍 송재로 191,견우동물병원
F5rP8a,"전라남도 나주시 빛가람로 731, KS프라자 103호 (빛가람동)",믿음동물병원
G4sQ9b,"경기도 의왕시 내손로 84, 테라팰리스인덕원 1층 101호 (내손동)",에이플동물병원
H3tR0c,"전라남도 장흥군 장흥읍 건산로 52, 2층 202호",세움동물병원(출장진료전문병원)
I2uS1d,"충청남도 아산시 음봉면 연암산로 280, 1층 2호",청해 산업동물병원(출장진료전문병원)
J1vT2e,"경기도 수원시 장안구 대평로 80, 정연메이져1동 111,123호 (정자동)",엘로이 동물병원
K0wU3f,경기도 안성시 양성면 범티길 98-24,브라운동물병원
L9xV4g,"부산광역시 해운대구 센텀동로 9, 2층 215호 (우동, 트럼프월드센텀아파트)",윤은채 재활 한방 동물병원
M8yW5h,"경기도 남양주시 다산중앙로123번길 22-26, 230호 (다산동)",다산아이동물병원
N7zX6i,"서울특별시 송파구 오금로 147, JS빌딩 5층 (방이동)",샤인고양이메디컬센터
O6aY7j,"서울특별시 송파구 삼전로 99, 대성빌딩 1층 (잠실동)",소담동물병원
P5bZ8k,"서울특별시 마포구 독막로 257, 1층 (대흥동)",오복동물치과병원
Q4c09l,강원특별자치도 춘천시 춘천로 267 (후평동),현대동물병원
R3d1Am,"경기도 고양시 일산서구 킨텍스로 255, 일산 디엠시티 스카이뷰 215,216,217호 (대화동)",위즈동물메디컬센터
S2e2Bn,"대구광역시 북구 칠성남로 30, 301동 106호 (고성동1가, 힐스테이트 대구역오페라)",스마일동물병원
T1f3Co,"서울특별시 강남구 봉은사로44길 61, 2층 (역삼동)",반려담동물병원
U0g4Dp,"충청북도 청주시 상당구 월평로 309, 1층 101호 (용암동)",티앤디 동물병원
V9h5Eq,"경기도 남양주시 조안면 북한강로 130, 1층 102호",반려동물보호센터 동물병원
W8i6Fr,"인천광역시 남동구 선수촌공원로23번길 6-29, 106호 (구월동)",꿈동물병원
X7j7Gs,경상북도 상주시 경상대로 3029 (무양동),일로동물병원
Y6k8Ht,"경상북도 상주시 인봉2길 30, 102호 (인봉동)",전수의과 동물병원
Z5l9Iu,"충청남도 아산시 탕정면 한들물빛6로 46, 탕정금정시티 3층 301~304호",리엔동물의료센터
A4m0Jv,"서울특별시 양천구 오목로 285, 1층 (목동)",목동찬동물의료센터
B3n1Kw,"경기도 수원시 영통구 봉영로 1587, 다모아프라자 201호 (영통동)",온새동물의료센터
C2o2Lx,"경기도 수원시 영통구 덕영대로 1400, 상가에이동 104,105호 (망포동, 영통아이파크캐슬2단지)",한걸음 동물병원
D1p3My,충청남도 당진시 고대면 연동로 30-6,당진시 동물보호소 동물병원
E0q4Nz,"충청남도 아산시 모종로 9-7, 아산세명프라자 1층 112호 (모종동)",밤비동물병원
F9r5Oa,"서울특별시 마포구 대흥로 183, 마포그랑자이 상가2동 201호 (대흥동)",아떼꼬떼 동물병원
G8s6Pb,"서울특별시 강동구 올림픽로78길 60, B101동 16호 (천호동, 강동 밀레니얼 중흥S-클래스)",아나동물메디컬센터
H7t7Qc,"인천광역시 서구 고산후로 279, 현해타워3 201,202호 (불로동)",오뜨동물의료센터
I6u8Rd,"충청북도 청주시 흥덕구 직지대로 585, 1층 (봉명동)",청주24시동물병원
J5v9Se,"충청북도 청주시 흥덕구 서현북로 28, 1층 (가경동)",강서하이동물병원
K4w0Tf,"경기도 안양시 동안구 경수대로 707, 1층 101호 일부, 102호 (호계동)",바로외과동물병원
L3x1Ug,"전라남도 신안군 압해읍 압해로 1380, 101호",목무신동물병원
M2y2Vh,"서울특별시 마포구 서강로 65, 창평빌딩 1층 (창전동)",오래봄동물병원
N1z3Wi,"서울특별시 영등포구 가마산로 496, JS타워 205~207,303~304,306~307호 (신길동)",동물의료센터24인치
O0a4Xj,"충청남도 아산시 둔포면 둔포로 33, 101호",중부스와인 병원(출장진료전문병원)
P9b5Yk,"서울특별시 광진구 구의강변로 46, 금성빌딩 1,2층 (구의동)",SNU반려동물검진센터
Q8c6Zl,"경기도 평택시 고덕국제5로 145, 2층 210-212호 (고덕동)",고덕 365 동물의료센터
R7d70m,"서울특별시 서초구 동작대로 190, 2층 (방배동)",서리풀동물병원
S6e81n,"인천광역시 서구 동화시로 106, 현해타워1 206호 (불로동)",히어로동물병원
T5f92o,전라남도 영광군 대마면 동삼로 670,홍예동물병원
U4gA3p,"경기도 남양주시 화도읍 경춘로 1937, 2층",허브동물메디컬센터
V3hB4q,"경기도 고양시 덕양구 오부자로 25, 106, 107호 (지축동)",끌림 동물병원
W2iC5r,"경기도 남양주시 다산지금로 129, 1층 106호 (다산동)",지금동물병원
X1jD6s,"경기도 고양시 덕양구 삼송로 141, 101호 (삼송동)",모리동물병원
Y0kE7t,전북특별자치도 부안군 보안면 영전길 15,이수동물병원
Z9lF8u,"경기도 고양시 일산서구 고봉로 317, 102호 (일산동)",현대동물병원
A8mG9v,대전광역시 유성구 금남구즉로 1234 (금고동),대전광역시 동물보호센터 부속동물병원
B7nH0w,"대전광역시 유성구 배울1로 132, 용산써밋프라자 Ⅰ 2층 201, 202호 (용산동)",용산동물의료센터
C6oI1x,경기도 양주시 광적면 광적로16번길 27-24,우리동물병원
D5pJ2y,"서울특별시 송파구 거마로 56, 상가동 지하1층 제1-3, 1-4호 (거여동, 송파시그니처롯데캐슬)",동감동물의료센터
E4qK3z,"대구광역시 동구 동대구로 425, 1층,2층 (신천동)",24시 에피소드 동물 메디컬 센터
F3rL40,경기도 의정부시 오목로 33 (용현동),슬찬동물병원
G2sM51,인천광역시 서구 서곶로 326 (심곡동),24시 인천 이음동물의료센터
H1tN62,"충청북도 청주시 흥덕구 서현남로 28, 203호 (가경동)",서현동물의료센터
I0uO73,"경기도 광주시 벼루개로 20, 1층 103호 (태전동)",라엘동물병원
J9vP84,"서울특별시 양천구 신정로 312, 뉴프라자 115호 (신정동)",클로버동물병원
K8wQ95,"광주광역시 남구 서문대로 339, 그랜드타워 2층 (임암동)",새봄동물병원
L7xRA6,"충청북도 청주시 흥덕구 직지대로 571, 윤성열내과의원 1층 (봉명동)",두근동물병원
M6ySB7,"경기도 하남시 미사강변동로 127, 경서타워 203호 (망월동)",리연외과동물병원
N5zTC8,"충청남도 당진시 수청4길 60, 104∼105호 (수청동)",라온동물의료센터
O4aUD9,"전북특별자치도 정읍시 명덕1길 7, 온유동물병원 (연지동)",온유동물병원
P3bVE0,"경기도 파주시 청석로 122, 3층 313~320호 (동패동)",24시 마이동물의료센터
Q2cWF1,"경기도 남양주시 오남읍 진건오남로 556, 201호",오남호수동물병원
R1dXG2,"경기도 안산시 상록구 안산천동로1길 29, 103호 (월피동, 이화)",지인동물병원
S0eYH3,"경기도 수원시 팔달구 세지로 178, 3층 (인계동)",뿌리동물병원 치과센터
T9fZI4,"경기도 파주시 숲속노을로 128, 2층 (동패동)",숲속노을 동물병원
U8g0J5,"대구광역시 수성구 화랑로 10, 2,3층 (만촌동)",24시 케어동물의료센터
V7h1K6,경기도 여주시 강천면 강천로 63,클로젠동물병원
W6i2L7,"서울특별시 노원구 동일로 1640, 오아시스빌딩 1,2층 (상계동)",서정동물병원
X5j3M8,"경기도 김포시 김포한강1로78번길 5, 김포한강장기빌딩 5층 (장기동)",FM동물영상의학센터
Y4k4N9,"서울특별시 강북구 도봉로 104, 1, B1, B2층 (미아동)",강북24시 N동물의료센터
Z3l5O0,"경기도 고양시 일산서구 고양대로 632, 아카메디 105호 (일산동)",더오래 동물병원
A2m6P1,전라남도 함평군 함평읍 함장로 1015,대경동물병원(출장진료전문동물병원)
B1n7Q2,"충청북도 옥천군 옥천읍 금장로 25, 축협",보은옥천영동축협 옥천지점 동물병원
C0o8R3,"서울특별시 마포구 월드컵북로 151, 성미빌딩 1층 (성산동)",라온동물병원
D9p9S4,"충청남도 부여군 부여읍 성왕로 202-3, 1층",다나은 동물의료센터
E8qAT5,강원특별자치도 삼척시 봉황로 163 (교동),셀레네 동물병원
F7rBU6,"대구광역시 남구 희망로 52, 1층 (이천동)",희망로H동물병원
G6sCV7,"경상남도 창원시 의창구 동읍 의창대로 870-5, 지하2층 204호",닥터장 동물의료센터
H5tDW8,"전북특별자치도 익산시 선화로6길 40-5 (모현동1가, 라움엘포레)",유스동물병원
I4uEX9,"경기도 성남시 분당구 성남대로 45, 2층 201호 (구미동)",리더스 외과 동물병원
J3vFY0,전라남도 목포시 청호로 155-1 (산정동),열린동물병원
K2wGZ1,"충청남도 아산시 배방읍 북수로111번길 6-4, 태하빌딩 201동 2층 4호",유동물병원(출장진료전문병원)
L1xH02,"경기도 안산시 단원구 선부광장1로 69, 한양3차산호아파트 2층 205-1호 (선부동)",선부중앙동물의료센터
M0yI13,서울특별시 강남구 압구정로46길 6 (신사동),리디아 동물병원
N9zJ24,"경기도 안양시 동안구 관악대로 177, 2층 (비산동)",24시 이오동물병원
O8aK35,"경기도 파주시 조리읍 뇌조로 123, 2층",특수동물 행동정신병원
P7bL46,"충청남도 홍성군 홍성읍 월산1길 33-6, 보람빌 3층 304호",더 건강한 동물병원
Q6cM57,"서울특별시 중랑구 망우로 373, 1층 (상봉동)",모루 동물의료센터
R5dN68,"경기도 남양주시 조안면 북한강로 130, 1층 102호",한성동물병원(양수지점)
S4eO79,"전라남도 나주시 상야4길 10, 패션페이스 1층 144호 (빛가람동)",신광목장동물병원
T3fP80,경기도 오산시 성호대로 97 (오산동),오산25시종합동물병원
U2gQ91,"경기도 오산시 문헌공로 3, 인피니트타워 201호, 202호 (금암동)",24시하나린동물의료센터
V1hR02,"경기도 화성시 남양읍 남양로 671, 105호",메이트 동물병원
